Date,Price
20-06-2016,43.939999
21-06-2016,43.922001
22-06-2016,39.332001
23-06-2016,39.279999
24-06-2016,38.630001
27-06-2016,39.709999
28-06-2016,40.358002
29-06-2016,42.037998
30-06-2016,42.456001
01-07-2016,43.299999
05-07-2016,42.796001
06-07-2016,42.888
07-07-2016,43.188
08-07-2016,43.355999
11-07-2016,44.956001
12-07-2016,44.93
13-07-2016,44.506001
14-07-2016,44.306
15-07-2016,44.080002
18-07-2016,45.25
19-07-2016,45.051998
20-07-2016,45.672001
21-07-2016,44.099998
22-07-2016,44.453999
25-07-2016,46.001999
26-07-2016,45.902
27-07-2016,45.698002
28-07-2016,46.122002
29-07-2016,46.958
01-08-2016,46.001999
02-08-2016,45.439999
03-08-2016,45.158001
04-08-2016,46.122002
05-08-2016,46.006001
08-08-2016,45.231998
09-08-2016,45.816002
10-08-2016,45.130001
11-08-2016,44.981998
12-08-2016,45.122002
15-08-2016,45.118
16-08-2016,44.722
17-08-2016,44.647999
18-08-2016,44.702
19-08-2016,45
22-08-2016,44.585999
23-08-2016,44.967999
24-08-2016,44.523998
25-08-2016,44.192001
26-08-2016,43.998001
29-08-2016,43.040001
30-08-2016,42.268002
31-08-2016,42.402
01-09-2016,40.153999
02-09-2016,39.556
06-09-2016,40.566002
07-09-2016,40.341999
08-09-2016,39.472
09-09-2016,38.894001
12-09-2016,39.66
13-09-2016,39.209999
14-09-2016,39.282001
15-09-2016,40.084
16-09-2016,41.080002
19-09-2016,41.268002
20-09-2016,40.928001
21-09-2016,41.043999
22-09-2016,41.285999
23-09-2016,41.490002
26-09-2016,41.798
27-09-2016,41.161999
28-09-2016,41.254002
29-09-2016,40.139999
30-09-2016,40.806
03-10-2016,42.740002
04-10-2016,42.282001
05-10-2016,41.692001
06-10-2016,40.200001
07-10-2016,39.321999
10-10-2016,40.189999
11-10-2016,40.02
12-10-2016,40.301998
13-10-2016,40.048
14-10-2016,39.301998
17-10-2016,38.792
18-10-2016,39.82
19-10-2016,40.712002
20-10-2016,39.82
21-10-2016,40.018002
24-10-2016,40.551998
25-10-2016,40.467999
26-10-2016,40.448002
27-10-2016,40.801998
28-10-2016,39.993999
31-10-2016,39.546001
01-11-2016,38.158001
02-11-2016,37.604
03-11-2016,37.484001
04-11-2016,38.112
07-11-2016,38.641998
08-11-2016,38.987999
09-11-2016,38.012001
10-11-2016,37.07
11-11-2016,37.712002
14-11-2016,36.290001
15-11-2016,36.754002
16-11-2016,36.785999
17-11-2016,37.731998
18-11-2016,37.004002
21-11-2016,36.903999
22-11-2016,38.234001
23-11-2016,38.627998
25-11-2016,39.330002
28-11-2016,39.223999
29-11-2016,37.914001
30-11-2016,37.880001
01-12-2016,36.375999
02-12-2016,36.293999
05-12-2016,37.360001
06-12-2016,37.169998
07-12-2016,38.630001
08-12-2016,38.458
09-12-2016,38.436001
12-12-2016,38.486
13-12-2016,39.630001
14-12-2016,39.737999
15-12-2016,39.515999
16-12-2016,40.498001
19-12-2016,40.546001
20-12-2016,41.757999
21-12-2016,41.540001
22-12-2016,41.689999
23-12-2016,42.667999
27-12-2016,43.905998
28-12-2016,43.948002
29-12-2016,42.936001
30-12-2016,42.737999
